name,latitude,longitude,date
Vanessa atalanta,28.86033,-100.726694,2017-04-19
Vanessa atalanta,35.218654,-118.840031,2018-09-26
Vanessa atalanta,37.778562,-122.405853,2018-09-27
Vanessa atalanta,33.56758,-101.801145,2018-09-28
Vanessa atalanta,36.848579,-102.882408,2017-10-06
Vanessa atalanta,36.156726,-115.423482,2017-10-07
Vanessa atalanta,36.15851,-115.427091,2017-10-07
Vanessa atalanta,36.122827,-115.485063,2017-10-07
Vanessa atalanta,37.773163,-122.426362,2017-10-08
Vanessa atalanta,37.744442,-122.421686,2015-03-15
Vanessa atalanta,37.839577,-122.270962,2015-07-24
Vanessa atalanta,37.80321,-122.406499,2016-03-25
Vanessa atalanta,36.4626,-121.192222,2016-03-27
Vanessa atalanta,37.542336,-122.248258,2015-03-21
Vanessa atalanta,34.264668,-118.392495,2016-03-28
Vanessa atalanta,37.802995,-122.442917,2016-03-28
Vanessa atalanta,37.682716,-122.408281,2016-03-31
Vanessa atalanta,36.510712,-121.189016,2016-03-26
Vanessa atalanta,37.665765,-122.394411,2016-04-02
Vanessa atalanta,37.802077,-122.405582,2016-04-02
Vanessa atalanta,37.867295,-121.748552,2016-04-03
Vanessa atalanta,32.764316,-116.841595,2016-04-03
Vanessa atalanta,37.877739,-121.983776,2016-04-04
Vanessa atalanta,36.459742,-121.909275,2016-04-06
Vanessa atalanta,38.904717,-120.662658,2016-04-06
Vanessa atalanta,37.679427,-122.407276,2016-04-11
Vanessa atalanta,34.016502,-118.04555,2016-04-11
Vanessa atalanta,40.289017,-124.3564,2016-04-12
Vanessa atalanta,37.768862,-122.472202,2016-04-14
Vanessa atalanta,37.679224,-122.407448,2016-04-14
Vanessa atalanta,33.807791,-118.088481,2016-04-15
Vanessa atalanta,37.719853,-122.420463,2016-04-16
Vanessa atalanta,37.721253,-122.419744,2016-04-16
Vanessa atalanta,34.087693,-118.569402,2016-04-16
Vanessa atalanta,37.720314,-122.416891,2016-04-16
Vanessa atalanta,37.741997,-122.417055,2016-04-16
Vanessa atalanta,34.63915,-120.457941,2016-04-16
Vanessa atalanta,37.185767,-122.338782,2016-04-17
Vanessa atalanta,37.764695,-122.410317,2016-04-18
